original,new_name
DJI_0125.jpeg,Nova-01.jpeg
DJI_0118.jpeg,Nova-02.jpeg
DJI_0150.jpeg,Nova-03.jpeg
Pacman.jpg,NGC-281-Pacman-Nebula.jpg
12082614.jpg,Partial-Solar-Eclipse-01.jpg
2026-08-12-200612-Solar.jpg,Partial-Solar-Eclipse-02.jpg
1208265.jpg,Partial-Solar-Eclipse-03.jpg
IMG_2612.JPG,Veil-Nebula-01.JPG
M31.jpg,M31-Andromeda-Galaxy.jpg
Pelican Nebula.jpg,IC-5070-Pelican-Nebula.jpg
bubbleny.jpg,NGC-7635-Bubble-Nebula-01.jpg
ngc7000hubble.jpeg,NGC-7000-North-America-Nebula-01.jpeg
Messier16.jpg,M16-Eagle-Nebula.jpg
elephantw.jpg,IC-1396-Elephants-Trunk-Nebula-01.jpg
6BFA4D06-5E5C-4C7E-A883-DC0492AF1DC0.jpeg,Sun-01.jpeg
7E5E721D-60D7-4C44-828A-791506A443EF.jpeg,M45-Pleiades.jpeg
elephant.jpg,IC-1396-Elephants-Trunk-Nebula-02.jpg
27E1B017-2ED1-474E-8211-D3658DAE144A_1_105_c copy.jpg,Dust-Nebula-Uncertain.jpg
NGC 6888.jpg,NGC-6888-Crescent-Nebula.jpg
Veil.jpg,Veil-Nebula-02.jpg
2026-04-04-162721-Solar.jpg,Sun-02.jpg
Heartnebula.jpg,IC-1805-Heart-Nebula.jpg
Wizard.jpg,NGC-7380-Wizard-Nebula.jpg
FCAF238A-C116-445A-B91A-30BC4FABB227.jpeg,Moon-01.jpeg
Tullip.jpg,Sh2-101-Tulip-Nebula.jpg
2026-08-12-200416-Solar (1).jpg,Partial-Solar-Eclipse-04.jpg
7B2F347F-B01A-40F6-9346-A855FD8C8ECB_1_105_c copy.jpg,Horsehead-and-Flame-Nebula.jpg
NGC7000.jpg,NGC-7000-North-America-Nebula-02.jpg
veil copy.jpg,Veil-Nebula-03.jpg
A6Lemmon.jpg,Comet-C-2025-A6-Lemmon.jpg
IMG_0173.jpeg,Partial-Solar-Eclipse-05.jpeg
CF6F4E71-2526-4A5B-AA0D-61B26BD6CCBF.jpeg,Moon-02.jpeg
Ghost.jpeg,Sh2-136-Ghost-Nebula.jpeg
M27mosaic.jpg,M27-Dumbbell-Nebula.jpg
2026-08-12-195420-Solar.jpg,Partial-Solar-Eclipse-06.jpg
bubble.jpg,NGC-7635-Bubble-Nebula-02.jpg
2026-08-12-200416-Solar.jpg,Partial-Solar-Eclipse-07.jpg
IMG_3056.jpeg,Moon-03.jpeg
starry222.jpg,NGC-7023-Iris-Nebula.jpg
AC9498F0-C46D-436F-8C84-BD487A21AA79_1_105_c copy.jpg,Moon-04.jpg
